LocationName,cityName,townName,address,lat,lon,單位
新北市政府消防局更寮分隊,新北市,五股區,中興路二段83巷26-6號,25.078279662024325,121.4616656216578,消防局
新北市政府消防局,新北市,板橋區,新北市板橋區南雅南路二段15號,25.001280151075367,121.45393464236186,消防局
新北市政府消防局第一救災救護大隊,新北市,板橋區,新北市板橋區莒光路161號3樓,25.02430233805444,121.473926619518,消防局
新北市政府消防局南勢分隊,新北市,中和區,南山路236號,24.98970772994977,121.50669902697688,消防局
新北市政府消防局國光分隊,新北市,中和區,新北市中和區莒光路160-1號,24.999658177252755,121.47259179256376,消防局
新北市政府消防局永利分隊,新北市,永和區,永利路72號之1,25.00427049331442,121.52012428031038,消防局
新北市政府消防局莒光分隊,新北市,板橋區,新北市板橋區莒光路161號1樓,25.02430233805444,121.473926619518,消防局
新北市政府消防局板橋分隊,新北市,板橋區,重慶路293號,24.999116112544623,121.463377549038,消防局
新北市政府消防局大觀分隊,新北市,板橋區,新北市板橋區大觀路一段38巷1-3號,25.00456104166937,121.4424717526582,消防局
新北市政府消防局海山分隊,新北市,板橋區,英士路151號,25.024044109514374,121.4599536982261,消防局
新北市政府消防局民生分隊,新北市,板橋區,民生路二段56之2號,25.01749716011637,121.47217184119876,消防局
新北市政府消防局溪崑分隊,新北市,板橋區,新北市板橋區篤行路2段135號,24.9887311,121.4303631,消防局
新北市政府消防局第二救災救護大隊,新北市,新莊區,新北市新莊區中正路170號5樓,25.035936762309223,121.45099175256156,消防局
新北市政府消防局五工分隊,新北市,新莊區,新北市新莊區五工路97巷5號,25.063262354777734,121.45674894165155,消防局
新北市政府消防局福營分隊,新北市,新莊區,新北市新莊區福營路279號,25.029440798545437,121.42761571079164,消防局
新北市政府消防局新莊分隊,新北市,新莊區,新北市新莊區中正路170號1樓,25.035936762309223,121.45099175256156,消防局
新北市政府消防局中港分隊,新北市,新莊區,新北市新莊區中原路512號,25.054530990270504,121.44629309797304,消防局
新北市政府消防局頭前分隊,新北市,新莊區,新北市新莊區幸福東路7號,25.049147752756063,121.46699523627196,消防局
新北市政府消防局五股分隊,新北市,五股區,工商路1號,25.082467472274374,121.4398174313165,消防局
新北市政府消防局德音分隊,新北市,五股區,新北市五股區明德路8號,25.071444046438835,121.4334402727702,消防局
新北市政府消防局泰山分隊,新北市,泰山區,明志路二段188號,25.050060281099224,121.42739140722104,消防局
新北市政府消防局林口分隊,新北市,林口區,新北市林口區中山路137號,25.0788243879972,121.38838925428983,消防局
新北市政府消防局第三救災救護大隊,新北市,蘆洲區,新北市蘆洲區長榮路792號6樓,25.092990730829733,121.46137398450476,消防局
新北市政府消防局重陽分隊,新北市,三重區,新北市三重區重陽路一段123號,25.06113091399138,121.48698742458868,消防局
新北市政府消防局二重分隊,新北市,三重區,中興北街225號,25.058572240238544,121.46911428818382,消防局
新北市政府消防局蘆洲分隊,新北市,蘆洲區,新北市蘆洲區中山一路415號,25.07674732329903,121.46897727109187,消防局
新北市政府消防局龍源分隊,新北市,八里區,龍米路一段225號,25.13234959355253,121.45136261568668,消防局
新北市政府消防局八里分隊,新北市,八里區,新北市八里區中山路二段76號,25.1558295485322,121.40816845607591,消防局
新北市政府消防局淡水分隊,新北市,淡水區,新北市淡水區新生街29號,25.17491183209582,121.43970432847664,消防局
新北市政府消防局竹圍分隊,新北市,淡水區,新北市淡水區竿蓁里21鄰中正東路一段125號,25.159542,121.455617,消防局
新北市政府消防局三芝分隊,新北市,三芝區,新北市三芝區中山路一段10號,25.2585693,121.5004941,消防局
新北市政府消防局第四救災救護大隊,新北市,新店區,新北市新店區北新路1段98號5樓,24.969111894533157,121.54219762371513,消防局
新北市政府消防局新店分隊,新北市,新店區,新北市新店區北新路一段98號,24.96715628348767,121.5420820119378,消防局
新北市政府消防局直潭分隊,新北市,新店區,新北市新店區直潭十街25號,24.9385877185455,121.5343116043698,消防局
新北市政府消防局安康分隊,新北市,新店區,安康路三段2號1樓　,24.9538355,121.4937415,消防局
新北市政府消防局石碇分隊,新北市,石碇區,新北市石碇區碇坪路一段81號,24.991348846638523,121.65761005260616,消防局
新北市政府消防局坪林分隊,新北市,坪林區,新北市坪林區國中路1號,24.9366477204761,121.7125676095196,消防局
新北市政府消防局雪山分隊,新北市,坪林區,新北市坪林區坪雙路一段56號,24.9857787,121.6594766,消防局
新北市政府消防局烏來分隊,新北市,烏來區,新北市烏來區環山路51號,24.8639646489348,121.5485773769615,消防局
新北市政府消防局深坑分隊,新北市,深坑區,新北市深坑區文山路1段35號1樓,25.00264784627336,121.62811335024053,消防局
新北市政府消防局第五救災救護大隊,新北市,三峽區,新北市三峽區隆恩街247號,24.9406673,121.3571224,消防局
新北市政府消防局土城分隊,新北市,土城區,金城路一段90號,24.973330022935546,121.44512723533856,消防局
新北市政府消防局清水分隊,新北市,土城區,新北市土城區青雲路35號,24.984669960329107,121.45892569226945,消防局
新北市政府消防局頂埔分隊,新北市,土城區,新北市土城區中山路49號,24.963089251347636,121.42143421002324,消防局
新北市政府消防局樹林分隊,新北市,樹林區,新北市樹林區環漢路五段50號,24.975372347818656,121.42289483485234,消防局
新北市政府消防局樹潭分隊,新北市,樹林區,新北市樹林區俊保路160號,25.008655485148864,121.42295337058498,消防局
新北市政府消防局柑園分隊,新北市,樹林區,新北市樹林區柑園街一段60號,24.960453637089927,121.4029410843073,消防局
新北市政府消防局三峽分隊,新北市,三峽區,新北市三峽區中正路1段46號,24.93064298628805,121.37534818711524,消防局
新北市政府消防局隆恩分隊,新北市,三峽區,新北市三峽區隆恩街247號,24.9406673,121.3571224,消防局
新北市政府消防局鶯歌分隊,新北市,鶯歌區,新北市鶯歌區建國路420號,24.951380968034474,121.34169672751528,消防局
新北市政府消防局第六救災救護大隊,新北市,汐止區,新北市汐止區福德一路236號,25.0650883,121.6339258,消防局
新北市政府消防局社后分隊,新北市,汐止區,新北市汐止區中興里福德一路236號,25.064971281782263,121.6339523345232,消防局
新北市政府消防局汐止分隊,新北市,汐止區,新北市汐止區大同路二段447號,25.067734880684256,121.65953896940512,消防局
